judul,abstrak,tahun,id,abstract_clean,methods_extracted,title_clean,topic_label_id
Pengenalan Wajah untuk Absensi Menggunakan Metode YOLOv8 di sektor pertanian,"Penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode YOLOv8. Studi kasus dilakukan di sektor pertanian. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.",2018,26,penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode yolov8. studi kasus dilakukan di sektor pertanian. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.,yolov8,pengenalan wajah untuk absensi menggunakan metode yolov8 di sektor pertanian,4
Rancang Bangun Aplikasi Monitoring IoT Menggunakan Metode SVM pada Mahasiswa Universitas Halu Oleo,"Penelitian ini bertujuan untuk melakukan rancang bangun aplikasi monitoring iot dengan menggunakan metode SVM. Studi kasus dilakukan pada Mahasiswa Universitas Halu Oleo. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk rancang bangun aplikasi monitoring iot.",2015,27,penelitian ini bertujuan untuk melakukan rancang bangun aplikasi monitoring iot dengan menggunakan metode svm. studi kasus dilakukan pada mahasiswa universitas halu oleo. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk rancang bangun aplikasi monitoring iot.,svm,rancang bangun aplikasi monitoring iot menggunakan metode svm pada mahasiswa universitas halu oleo,1
Clustering Persebaran UMKM Menggunakan Metode Decision Tree di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode Decision Tree. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2024,28,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode decision tree. studi kasus dilakukan di lingkungan pemerintah daerah. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,,clustering persebaran umkm menggunakan metode decision tree di lingkungan pemerintah daerah,4
Prediksi Nilai Tukar Rupiah Menggunakan Metode Random Forest di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode Random Forest. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode Random Forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Random Forest memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.",2021,29,penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode random forest. studi kasus dilakukan di kabupaten kolaka timur. metode random forest dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode random forest memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.,,prediksi nilai tukar rupiah menggunakan metode random forest di kabupaten kolaka timur,0
Prediksi Harga Tanaman Holtikultura Menggunakan Metode Naive Bayes di sektor pertanian,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode Naive Bayes. Studi kasus dilakukan di sektor pertanian. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2024,30,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode naive bayes. studi kasus dilakukan di sektor pertanian. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,naive bayes,prediksi harga tanaman holtikultura menggunakan metode naive bayes di sektor pertanian,0
Prediksi Cuaca Harian Menggunakan Metode K-Means di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode K-Means. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode K-Means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode K-Means memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.",2017,31,penelitian ini bertujuan untuk melakukan prediksi cuaca harian dengan menggunakan metode k means. studi kasus dilakukan di lingkungan pemerintah daerah. metode k means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode k means memberikan akurasi dan efisiensi yang memadai untuk prediksi cuaca harian.,k-means,prediksi cuaca harian menggunakan metode k means di lingkungan pemerintah daerah,0
Prediksi Harga Tanaman Holtikultura Menggunakan Metode CNN di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode CNN. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode CNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode CNN memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.",2019,32,penelitian ini bertujuan untuk melakukan prediksi harga tanaman holtikultura dengan menggunakan metode cnn. studi kasus dilakukan di lingkungan pemerintah daerah. metode cnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode cnn memberikan akurasi dan efisiensi yang memadai untuk prediksi harga tanaman holtikultura.,cnn,prediksi harga tanaman holtikultura menggunakan metode cnn di lingkungan pemerintah daerah,0
Analisis Trafik Jaringan Menggunakan Metode DBSCAN berbasis Android,"Penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode DBSCAN. Studi kasus dilakukan berbasis Android. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.",2018,33,penelitian ini bertujuan untuk melakukan analisis trafik jaringan dengan menggunakan metode dbscan. studi kasus dilakukan berbasis android. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk analisis trafik jaringan.,,analisis trafik jaringan menggunakan metode dbscan berbasis android,3
Klasifikasi Sampah Organik/Anorganik Menggunakan Metode YOLOv8 menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan klasifikasi sampah organik/anorganik dengan menggunakan metode YOLOv8. Studi kasus dilakukan menggunakan Data BMKG. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik/anorganik.",2022,34,penelitian ini bertujuan untuk melakukan klasifikasi sampah organik anorganik dengan menggunakan metode yolov8. studi kasus dilakukan menggunakan data bmkg. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik anorganik.,yolov8,klasifikasi sampah organik anorganik menggunakan metode yolov8 menggunakan data bmkg,0
Klasifikasi Jenis Daun Obat Menggunakan Metode Naive Bayes berbasis Android,"Penelitian ini bertujuan untuk melakukan klasifikasi jenis daun obat dengan menggunakan metode Naive Bayes. Studi kasus dilakukan berbasis Android. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk klasifikasi jenis daun obat.",2020,35,penelitian ini bertujuan untuk melakukan klasifikasi jenis daun obat dengan menggunakan metode naive bayes. studi kasus dilakukan berbasis android. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk klasifikasi jenis daun obat.,naive bayes,klasifikasi jenis daun obat menggunakan metode naive bayes berbasis android,0
Prediksi Nilai Tukar Rupiah Menggunakan Metode DBSCAN berbasis Android,"Penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode DBSCAN. Studi kasus dilakukan berbasis Android. Metode DBSCAN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode DBSCAN memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.",2017,36,penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode dbscan. studi kasus dilakukan berbasis android. metode dbscan dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode dbscan memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.,,prediksi nilai tukar rupiah menggunakan metode dbscan berbasis android,0
Rekomendasi Judul Tugas Akhir Menggunakan Metode Transformer berbasis Android,"Penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode Transformer. Studi kasus dilakukan berbasis Android. Metode Transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Transformer memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.",2021,37,penelitian ini bertujuan untuk melakukan rekomendasi judul tugas akhir dengan menggunakan metode transformer. studi kasus dilakukan berbasis android. metode transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode transformer memberikan akurasi dan efisiensi yang memadai untuk rekomendasi judul tugas akhir.,transformer,rekomendasi judul tugas akhir menggunakan metode transformer berbasis android,2
Deteksi Serangan Siber Menggunakan Metode K-Means di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode K-Means. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode K-Means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode K-Means memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.",2016,38,penelitian ini bertujuan untuk melakukan deteksi serangan siber dengan menggunakan metode k means. studi kasus dilakukan di lingkungan pemerintah daerah. metode k means dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode k means memberikan akurasi dan efisiensi yang memadai untuk deteksi serangan siber.,k-means,deteksi serangan siber menggunakan metode k means di lingkungan pemerintah daerah,0
Clusterisasi Data Wisatawan Menggunakan Metode Decision Tree menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode Decision Tree. Studi kasus dilakukan menggunakan Data BMKG. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.",2019,39,penelitian ini bertujuan untuk melakukan clusterisasi data wisatawan dengan menggunakan metode decision tree. studi kasus dilakukan menggunakan data bmkg. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk clusterisasi data wisatawan.,,clusterisasi data wisatawan menggunakan metode decision tree menggunakan data bmkg,2
Prediksi Harga Emas Menggunakan Metode YOLOv8 pada Dataset Kesehatan Nasional,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode YOLOv8. Studi kasus dilakukan pada Dataset Kesehatan Nasional. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2018,40,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode yolov8. studi kasus dilakukan pada dataset kesehatan nasional. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,yolov8,prediksi harga emas menggunakan metode yolov8 pada dataset kesehatan nasional,0
Prediksi Nilai Tukar Rupiah Menggunakan Metode Naive Bayes di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode Naive Bayes. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.",2023,41,penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode naive bayes. studi kasus dilakukan di lingkungan pemerintah daerah. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.,naive bayes,prediksi nilai tukar rupiah menggunakan metode naive bayes di lingkungan pemerintah daerah,0
Deteksi Emosi pada Teks Menggunakan Metode Decision Tree berbasis IoT,"Penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode Decision Tree. Studi kasus dilakukan berbasis IoT. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.",2017,42,penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode decision tree. studi kasus dilakukan berbasis iot. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.,,deteksi emosi pada teks menggunakan metode decision tree berbasis iot,0
Deteksi Emosi pada Teks Menggunakan Metode YOLOv8 di Lingkungan Pemerintah Daerah,"Penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode YOLOv8. Studi kasus dilakukan di Lingkungan Pemerintah Daerah. Metode YOLOv8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode YOLOv8 memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.",2016,43,penelitian ini bertujuan untuk melakukan deteksi emosi pada teks dengan menggunakan metode yolov8. studi kasus dilakukan di lingkungan pemerintah daerah. metode yolov8 dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode yolov8 memberikan akurasi dan efisiensi yang memadai untuk deteksi emosi pada teks.,yolov8,deteksi emosi pada teks menggunakan metode yolov8 di lingkungan pemerintah daerah,0
Rancang Bangun Sistem Peminjaman Barang Menggunakan Metode Naive Bayes di sektor pertanian,"Penelitian ini bertujuan untuk melakukan rancang bangun sistem peminjaman barang dengan menggunakan metode Naive Bayes. Studi kasus dilakukan di sektor pertanian. Metode Naive Bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Naive Bayes memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem peminjaman barang.",2015,44,penelitian ini bertujuan untuk melakukan rancang bangun sistem peminjaman barang dengan menggunakan metode naive bayes. studi kasus dilakukan di sektor pertanian. metode naive bayes dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode naive bayes memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem peminjaman barang.,naive bayes,rancang bangun sistem peminjaman barang menggunakan metode naive bayes di sektor pertanian,1
Clustering Persebaran UMKM Menggunakan Metode CNN menggunakan Data BMKG,"Penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode CNN. Studi kasus dilakukan menggunakan Data BMKG. Metode CNN dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode CNN memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.",2018,45,penelitian ini bertujuan untuk melakukan clustering persebaran umkm dengan menggunakan metode cnn. studi kasus dilakukan menggunakan data bmkg. metode cnn dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode cnn memberikan akurasi dan efisiensi yang memadai untuk clustering persebaran umkm.,cnn,clustering persebaran umkm menggunakan metode cnn menggunakan data bmkg,4
Rancang Bangun Sistem Peminjaman Barang Menggunakan Metode Transformer pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan rancang bangun sistem peminjaman barang dengan menggunakan metode Transformer. Studi kasus dilakukan pada UMKM lokal. Metode Transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Transformer memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem peminjaman barang.",2023,46,penelitian ini bertujuan untuk melakukan rancang bangun sistem peminjaman barang dengan menggunakan metode transformer. studi kasus dilakukan pada umkm lokal. metode transformer dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode transformer memberikan akurasi dan efisiensi yang memadai untuk rancang bangun sistem peminjaman barang.,transformer,rancang bangun sistem peminjaman barang menggunakan metode transformer pada umkm lokal,1
Pengenalan Wajah untuk Absensi Menggunakan Metode Decision Tree berbasis Android,"Penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode Decision Tree. Studi kasus dilakukan berbasis Android. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.",2021,47,penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode decision tree. studi kasus dilakukan berbasis android. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.,,pengenalan wajah untuk absensi menggunakan metode decision tree berbasis android,4
Klasifikasi Sampah Organik/Anorganik Menggunakan Metode ARIMA berbasis Android,"Penelitian ini bertujuan untuk melakukan klasifikasi sampah organik/anorganik dengan menggunakan metode ARIMA. Studi kasus dilakukan berbasis Android. Metode ARIMA dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode ARIMA memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik/anorganik.",2021,48,penelitian ini bertujuan untuk melakukan klasifikasi sampah organik anorganik dengan menggunakan metode arima. studi kasus dilakukan berbasis android. metode arima dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode arima memberikan akurasi dan efisiensi yang memadai untuk klasifikasi sampah organik anorganik.,,klasifikasi sampah organik anorganik menggunakan metode arima berbasis android,0
Prediksi Harga Emas Menggunakan Metode Decision Tree pada UMKM lokal,"Penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode Decision Tree. Studi kasus dilakukan pada UMKM lokal. Metode Decision Tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode Decision Tree memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.",2024,49,penelitian ini bertujuan untuk melakukan prediksi harga emas dengan menggunakan metode decision tree. studi kasus dilakukan pada umkm lokal. metode decision tree dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode decision tree memberikan akurasi dan efisiensi yang memadai untuk prediksi harga emas.,,prediksi harga emas menggunakan metode decision tree pada umkm lokal,0
Pengenalan Wajah untuk Absensi Menggunakan Metode SVM di Kabupaten Kolaka Timur,"Penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode SVM. Studi kasus dilakukan di Kabupaten Kolaka Timur. Metode SVM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode SVM memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.",2019,50,penelitian ini bertujuan untuk melakukan pengenalan wajah untuk absensi dengan menggunakan metode svm. studi kasus dilakukan di kabupaten kolaka timur. metode svm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode svm memberikan akurasi dan efisiensi yang memadai untuk pengenalan wajah untuk absensi.,svm,pengenalan wajah untuk absensi menggunakan metode svm di kabupaten kolaka timur,4
Prediksi Nilai Tukar Rupiah Menggunakan Metode LSTM berbasis IoT,"Penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode LSTM. Studi kasus dilakukan berbasis IoT. Metode LSTM dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. Tahapan penelitian meliputi pengumpulan data, pembersihan data, pemodelan, pengujian, dan evaluasi. Hasil pengujian menunjukkan bahwa metode LSTM memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.",2021,51,penelitian ini bertujuan untuk melakukan prediksi nilai tukar rupiah dengan menggunakan metode lstm. studi kasus dilakukan berbasis iot. metode lstm dipilih karena mampu memberikan performa yang baik dalam menangani data berukuran besar dan kompleks. tahapan penelitian meliputi pengumpulan data pembersihan data pemodelan pengujian dan evaluasi. hasil pengujian menunjukkan bahwa metode lstm memberikan akurasi dan efisiensi yang memadai untuk prediksi nilai tukar rupiah.,lstm,prediksi nilai tukar rupiah menggunakan metode lstm berbasis iot,0
